barcode,sku,weight,unit,subCategory,parentCategory,image128,image256,mrp
8901030559839,Rin Washing Powder,1,kg,Laundry Detergents & Liquids,Household Needs,https://media.goodbox.in/qo/menu-images/Master+Grocery+Images/2020+images/dropbox+2/Rin Detergent Powder 1 Kg.jfif,https://media.goodbox.in/qo/menu-images/Master+Grocery+Images/2020+images/dropbox+2/Rin Detergent Powder 1 Kg.jfif,78.00
8901030560002,Surf Excel Matic Top Load Detergent Powder,2,kg,Dishwashers & Cleaners,Household Needs,https://media.goodbox.in/qo/menu-images/31082017/128/Part+1/8901030560002.jpg,https://media.goodbox.in/qo/menu-images/31082017/256/Part+1/8901030560002.jpg,385.00
8901030560965,Domex Zero Stain Green Toilet Cleaner,450,ml,Dishwashers & Cleaners,Household Needs,https://media.goodbox.in/sku_images/domex_zero_stain_green_toilet_cleaner_450_ml_128.jpg,https://media.goodbox.in/sku_images/domex_zero_stain_green_toilet_cleaner_450_ml_256.jpg,78.00
8901030563218,Rin Advanced Bar,150,gm,Laundry Detergents & Liquids,Household Needs,https://media.goodbox.in/sku_images/image1/rin-soap_128.jpg,https://media.goodbox.in/sku_images/image1/rin-soap_256.jpg,10.00
8901030563508,Domex Zero Stain,750,ml,Dishwashers & Cleaners,Household Needs,https://media.goodbox.in/qo/menu-images/dropin/128/8901030563508.jpg,https://media.goodbox.in/qo/menu-images/dropin/256/8901030563508.jpg,125.00
8901030563522,Rin Advanced Detergent Powder,2,kg,Laundry Detergents & Liquids,Household Needs,https://media.goodbox.in/sku_images/rin_advanced_detergent_powder_2_kg_128.jpg,https://media.goodbox.in/sku_images/rin_advanced_detergent_powder_2_kg_256.jpg,156.00
8901030564185,Surf Excel Quick Wash,1,kg,Laundry Detergents & Liquids,Household Needs,https://media.goodbox.in/qo/mrp/images/localcatalog/20190915/24185546.jpg,https://media.goodbox.in/qo/mrp/images/localcatalog/20190915/24185546.jpg,192.00
8901030564192,Surf Excel Quick Wash,2,kg,Laundry Detergents & Liquids,Household Needs,https://media.goodbox.in/qo/menu-images/31082017/128/Part+1/8901030564192.jpg,https://media.goodbox.in/qo/menu-images/31082017/256/Part+1/8901030564192.jpg,400.00
8901030564222,Surf Excel Quick Wash,200,gm,Laundry Detergents & Liquids,Household Needs,https://media.goodbox.in/qo/mrp/images/localcatalog/20191008/24877002.jpg,https://media.goodbox.in/qo/mrp/images/localcatalog/20191008/24877002.jpg,40.00
8901030564239,Surf Excel Quick Wash,500,gm,Laundry Detergents & Liquids,Household Needs,https://media.goodbox.in/api_uploads/catalog_upload_20210315113042_8901030564239-removebg-preview.png,https://media.goodbox.in/api_uploads/catalog_upload_20210315113049_8901030564239-removebg-preview1.png,100.00
8901030573552,Vim Dishwash Drop,120,ml,Dishwashers & Cleaners,Household Needs,https://media.goodbox.in/qo/menu-images/Master+Grocery+Images/images11112017128x128/8901030573552.jpg,https://media.goodbox.in/qo/menu-images/Master+Grocery+Images/images11112017256x256/8901030573552.jpg,20.00
8901030574405,Wheel Active,500,gm,Laundry Detergents & Liquids,Household Needs,https://media.goodbox.in/api_uploads/catalog_upload_20210315113444_8901030574405-removebg-preview.png,https://media.goodbox.in/api_uploads/catalog_upload_20210315113450_8901030574405-removebg-preview1.png,26.00
8901030575631,Surf Excel Quick Wash Detergent Powder,1,kg,Laundry Detergents & Liquids,Household Needs,https://media.goodbox.in/api_uploads/catalog_upload_20210319124536_surf_excel_quick_wash_1kg-removebg-preview.png,https://media.goodbox.in/api_uploads/catalog_upload_20210319124543_surf_excel_quick_wash_1kg-removebg-preview_1.png,190.00
8901030601378,Comfort Green Fabric Coditioner,200,ml,Laundry Detergents & Liquids,Household Needs,https://media.goodbox.in/qo/menu-images/Master+Grocery+Images/16-12-17/128x128/8901030601378.jpg,https://media.goodbox.in/qo/menu-images/Master+Grocery+Images/16-12-17/256x256/8901030601378.jpg,55.00
8901030601385,Comfort After Wash,200,ml,Laundry Detergents & Liquids,Household Needs,https://media.goodbox.in/qo/menu-images/Master+Grocery+Images/GS1128X128/8901030601385..jpg,https://media.goodbox.in/qo/menu-images/Master+Grocery+Images/GS1256x256/8901030601385..jpg,55.00
8901030601453,Wheel Active Blue Bar,190,gm,Laundry Detergents & Liquids,Household Needs,https://media.goodbox.in/qo/menu-images/Master+Grocery+Images/san02/128/8901030601453.jpg,https://media.goodbox.in/qo/menu-images/Master+Grocery+Images/san02/256/8901030601453.jpg,10.00
8901030601477,Active Wheel Soap,120,gm,Laundry Detergents & Liquids,Household Needs,https://media.goodbox.in/qo/menu-images/Master+Grocery+Images/images11112017128x128/8901030601477.jpg,https://media.goodbox.in/qo/menu-images/Master+Grocery+Images/images11112017256x256/8901030601477.jpg,6.00
